Date,Open,High,Low,Close,Adj Close,Volume
16-11-2021,149.940002,151.490005,149.339996,151,149.692764,59256200
17-11-2021,151,155,150.990005,153.490005,152.161224,88807000
18-11-2021,153.710007,158.669998,153.050003,157.869995,156.503281,137827700
19-11-2021,157.649994,161.020004,156.529999,160.550003,159.16008,117305600
22-11-2021,161.679993,165.699997,161,161.020004,159.626022,117467900
23-11-2021,161.119995,161.800003,159.059998,161.410004,160.01265,96041900
24-11-2021,160.75,162.139999,159.639999,161.940002,160.538055,69463600
26-11-2021,159.570007,160.449997,156.360001,156.809998,155.452469,76959800
29-11-2021,159.369995,161.190002,158.789993,160.240005,158.852783,88748200
30-11-2021,159.990005,165.520004,159.919998,165.300003,163.868973,174048100
01-12-2021,167.479996,170.300003,164.529999,164.770004,163.343552,152052500
02-12-2021,158.740005,164.199997,157.800003,163.759995,162.342285,136739200
03-12-2021,164.020004,164.960007,159.720001,161.839996,160.438919,118023100
06-12-2021,164.289993,167.880005,164.279999,165.320007,163.888809,107497000
07-12-2021,169.080002,171.580002,168.339996,171.179993,169.698059,120405400
08-12-2021,172.130005,175.960007,170.699997,175.080002,173.564301,116998900
09-12-2021,174.910004,176.75,173.919998,174.559998,173.048798,108923700
10-12-2021,175.210007,179.630005,174.690002,179.449997,177.896469,115402700
13-12-2021,181.119995,182.130005,175.529999,175.740005,174.218582,153237000
14-12-2021,175.25,177.740005,172.210007,174.330002,172.820786,139380400
15-12-2021,175.110001,179.5,172.309998,179.300003,177.747757,131063300
16-12-2021,179.279999,181.139999,170.75,172.259995,170.768692,150185800
17-12-2021,169.929993,173.470001,169.690002,171.139999,169.658417,195432700
20-12-2021,168.279999,170.580002,167.460007,169.75,168.280441,107499100
21-12-2021,171.559998,173.199997,169.119995,172.990005,171.492386,91185900
22-12-2021,173.039993,175.860001,172.149994,175.639999,174.119446,92135300
23-12-2021,175.850006,176.850006,175.270004,176.279999,174.753906,68356600
27-12-2021,177.089996,180.419998,177.070007,180.330002,178.768875,74919600
28-12-2021,180.160004,181.330002,178.529999,179.289993,177.737839,79144300
29-12-2021,179.330002,180.630005,178.139999,179.380005,177.827072,62348900
30-12-2021,179.470001,180.570007,178.089996,178.199997,176.657288,59773000
31-12-2021,178.089996,179.229996,177.259995,177.570007,176.032761,64062300
03-01-2022,177.830002,182.880005,177.710007,182.009995,180.43428,104487900
04-01-2022,182.630005,182.940002,179.119995,179.699997,178.144302,99310400
05-01-2022,179.610001,180.169998,174.639999,174.919998,173.405685,94537600
06-01-2022,172.699997,175.300003,171.639999,172,170.510956,96904000
07-01-2022,172.889999,174.139999,171.029999,172.169998,170.679489,86709100
10-01-2022,169.080002,172.5,168.169998,172.190002,170.699295,106765600
11-01-2022,172.320007,175.179993,170.820007,175.080002,173.564301,76138300
12-01-2022,176.119995,177.179993,174.820007,175.529999,174.010376,74805200
13-01-2022,175.779999,176.619995,171.789993,172.190002,170.699295,84505800
14-01-2022,171.339996,173.779999,171.089996,173.070007,171.571701,80440800
18-01-2022,171.509995,172.539993,169.410004,169.800003,168.330017,90956700
19-01-2022,170,171.080002,165.940002,166.229996,164.790909,94815000
20-01-2022,166.979996,169.679993,164.179993,164.509995,163.085785,91420500
21-01-2022,164.419998,166.330002,162.300003,162.410004,161.003983,122848900
24-01-2022,160.020004,162.300003,154.699997,161.619995,160.22084,162294600
25-01-2022,158.979996,162.759995,157.020004,159.779999,158.396744,115798400
26-01-2022,163.5,164.389999,157.820007,159.690002,158.307526,108275300
27-01-2022,162.449997,163.839996,158.279999,159.220001,157.841599,121954600
28-01-2022,165.710007,170.350006,162.800003,170.330002,168.855423,179935700
31-01-2022,170.160004,175,169.509995,174.779999,173.266876,115541600
01-02-2022,174.009995,174.839996,172.309998,174.610001,173.098373,86213900
02-02-2022,174.75,175.880005,173.330002,175.839996,174.317719,84914300
03-02-2022,174.479996,176.240005,172.119995,172.899994,171.403168,89418100
04-02-2022,171.679993,174.100006,170.679993,172.389999,171.115326,82465400
07-02-2022,172.860001,173.949997,170.949997,171.660004,170.390717,77251200
08-02-2022,171.729996,175.350006,171.429993,174.830002,173.537277,74829200
09-02-2022,176.050003,176.649994,174.899994,176.279999,174.976547,71285000
10-02-2022,174.139999,175.479996,171.550003,172.119995,170.847321,90865900
11-02-2022,172.330002,173.080002,168.039993,168.639999,167.393036,98670700
14-02-2022,167.369995,169.580002,166.559998,168.880005,167.631256,86185500
15-02-2022,170.970001,172.949997,170.25,172.789993,171.512344,62527400
16-02-2022,171.850006,173.339996,170.050003,172.550003,171.274139,61177400
17-02-2022,171.029999,171.910004,168.470001,168.880005,167.631256,69589300
18-02-2022,169.820007,170.539993,166.190002,167.300003,166.062958,82772700
22-02-2022,164.979996,166.690002,162.149994,164.320007,163.104996,91162800
